"id" "X1996" "X1997" "X1998" "X1999" "X2000" "X2001" "X2002" "X2003" "X2004" "X2005" "X2006" "X2007" "X2008"
"1" 10017933 6000495 7000421 8000328 9000151 10000151 11000155 12000132 13000144 14000237 15000222 16000269 17000173 18000177
"2" 10019057 6000681 7712685 8593868 9240217 10221123 11204184 12187828 13169661 14212218 15196801 16184823 17173396 18162967
"3" 10040331 6001432 7001142 8639353 9255281 10234144 11215534 12198161 13177575 14221721 15205304 16192966 17181011 18169848
"4" 10048219 6001742 7001401 8000689 9000291 10000313 11000333 12000329 13000322 14000423 15000478 16000501 17000386 18000398
"5" 10055266 6002439 7001975 8001049 9000461 10000488 11000481 12000485 13000489 14000636 15000818 16000722 17000602 18000576
"6" 10058257 6002676 7682115 8663742 9263233 10240845 11221429 12203289 13181378 14226308 15209229 16196392 17183979 18172571
"7" 20037457 6002676 7682115 8663742 9263233 10240845 11221429 12203289 13181378 14226308 15209229 16196392 17183979 18172571
"8" 10062386 6002927 7002289 8001375 9000585 10000585 11000589 12000574 13303813 14364131 15332063 16408128 17370566 18340261
"9" 10067248 6003109 7002432 8001529 9000623 10000623 11000635 12000639 13000594 14000768 15000931 16000846 17000726 18000673
"10" 10078401 6003419 7002696 8001782 9000755 10000755 11000732 12000744 13000691 14000911 15001091 16001001 17000882 18000827
"11" 10079556 6003478 7002742 8001839 9000771 10000771 11000759 12000779 13000713 14000946 15001121 16001036 17000912 18000851
"12" 10080643 6003729 7002955 8002045 9287728 10260838 11238771 12218634 13195158 14243288 15225356 16211472 17197937 18185029
"13" 10080678 6003729 7002955 8002045 9287744 10309179 11297522 12299774 13293516 14354551 15324109 16301722 17392128 18357776
"14" 10081798 6003842 7003102 8002193 9000844 10000879 11000813 12000833 13000799 14001012 15001199 16001109 17000971 18000916
"15" 10094083 6004326 7003528 8002509 9001018 10001034 11000945 12000949 13000888 14001136 15001342 16001257 17001102 18000959
"16" 10094113 6004326 7003528 8002509 9001018 10001034 11000945 12000949 13000888 14001136 15001342 16001257 17001102 18000959
"17" 10094148 6004326 7003579 8680035 9294848 10300732 11000945 12000949 13311964 14373556 15339688 16316002 17293537 18272347
"18" 10094172 6004326 7003528 8002509 9001018 10001034 11000945 12000949 13000888 14001136 15001342 16001257 17001102 18000959
"19" 10101942 6004571 7003722 8002665 9001085 10001107 11001003 12001058 13000985 14001233 15001431 16001346 17001196 18001041
"20" 10101977 6004571 7003722 8002665 9001085 10001107 11001003 12001058 13000985 14001233 15001431 16001346 17001196 18001041
"21" 10110879 6005063 7004184 8003122 9001271 10001298 11001194 12001244 13001159 14001489 15001652 16001532 17001382 18001238
"22" 10110909 6005063 7004184 8003122 9001271 10001298 11001194 12001244 13001159 14001489 15001652 16001532 17001382 18001238
"23" 10110933 6005063 7004184 8697728 9274464 10250174 11229594 12305448 13266179 14324733 15297756 16278097 17258243 18240402
"24" 10111999 6005306 7004419 8003289 9001344 10001379 11001259 12001317 13001213 14001578 15001741 16001621 17001471 18001327
"25" 10112081 6005306 7004419 8003289 9001344 10001379 11001259 12001317 13001213 14001578 15001741 16001621 17001471 18001327
"26" 10127666 6006108 7005032 8003645 9001484 10001506 11001364 12001422 13001299 14001632 15001806 16001699 17001536 18001386
"27" 10138862 6006906 7005652 8004218 9001735 10001751 11001585 12001589 13001469 14001853 15002039 16001877 17401453 18364748
"28" 10138897 6006906 7005652 8004218 9001735 10001751 11001585 12001589 13001469 14001853 15002039 16001877 17401453 18364748
"29" 10141138 6007082 7005814 8004315 9001778 10001794 11001623 12001635 13001507 14001918 15002098 16001931 17001692 18001483
"30" 40073157 6007082 7005814 8004315 9001778 10001794 11001623 12001635 13001507 14001918 15002098 16001931 17001692 18001483
"31" 10142223 6007279 7005962 8004463 9001832 10001859 11001704 12001694 13001558 14001977 15002152 16002008 17001757 18001548
"32" 10160132 6007708 7006225 8004625 9001891 10001913 11001771 12001759 13001574 14002019 15002187 16002032 17001781 18001572
"33" 10163492 6007821 7006276 8004676 9001913 10001948 11001798 12001775 13001604 14002043 15002217 16002067 17001811 18001602
